Lyrics,Words,Omegle Bars Episode,Fast Flow (Y/N),Flow State (Start/Pocket),Lyric State (Verse/Hook),Link
yeah yeah come on aye come on aye come on aye come on aye come on aye ,florescent adolescence rainbow wetherspoons,1-1,,Start,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
baby peeping my essence ,florescent adolescence rainbow wetherspoons,1-1,,In the Pocket,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
shining florescent,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I've been doing like that since a young adolescent,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah I'm shining,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
ya'll know I'm doing it big,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
florescent with the light since I was just a kid,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
even as a youth I would shine in the booth,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
the florescent adolescence homie that's my truth,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm really living that,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
